id;date;exercise;meals;alcohol;notes
1;2020-02-03;6198;38418;57707;withdrawal Denar application
2;2020-02-02;51395;58657;20486;Music
3;2020-02-02;59462;53566;83545;time-frame
4;2020-02-03;61591;1730;19660;Licensed Group JBOD
5;2020-02-02;20017;81652;72051;cyan
6;2020-02-03;35227;55062;50823;ability
7;2020-02-03;23091;24113;78120;Argentina Switzerland
8;2020-02-02;45699;17175;31349;Frozen Human Officer
9;2020-02-03;88212;94364;63944;Mission
10;2020-02-03;62073;42930;55671;Unbranded Frozen Bacon orchestrate
